TypeDeclarationContextName,Query,QueryUnitGroup,QueryPropertyName,Enabled,ProcessStatus,QueryUnitSettingType,TargetTypeDeclarationFullName,TargetEntityKey,TargetPropertyName,TargetPropertyType,FKPropertyName,EntityReferenceSimpleFullPath,TargetPropertyFullPath,PredicateKnownType
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,BooleanRange,OnlineOrderFlag,True,FromDefault,Range,AdventureWorksLT2019Model.SalesOrderHeader,t,OnlineOrderFlag,SystemBoolean,,,,Equals
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,DateTimeRange,OrderDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.SalesOrderHeader,t,OrderDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,DateTimeRange,DueDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.SalesOrderHeader,t,DueDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,DateTimeRange,ShipDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.SalesOrderHeader,t,ShipDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,DateTimeRange,ModifiedDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.SalesOrderHeader,t,ModifiedDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,EntityReference,BillToAddressID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.Address,BillTo,AddressID,SystemInt32,BillToAddressID,\BillToAddressID,,Equals
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,EntityReference,ShipToAddressID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.Address,ShipTo,AddressID,SystemInt32,ShipToAddressID,\ShipToAddressID,,Equals
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,EntityReference,CustomerID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.Customer,Customer,CustomerID,SystemInt32,CustomerID,\CustomerID,,Equals
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,StringQuery,SalesOrderNumber,True,FromDefault,StringQuery,AdventureWorksLT2019Model.SalesOrderHeader,t,SalesOrderNumber,SystemString,,,,Contains
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,StringQuery,PurchaseOrderNumber,True,FromDefault,StringQuery,AdventureWorksLT2019Model.SalesOrderHeader,t,PurchaseOrderNumber,SystemString,,,,Contains
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,StringQuery,AccountNumber,True,FromDefault,StringQuery,AdventureWorksLT2019Model.SalesOrderHeader,t,AccountNumber,SystemString,,,,Contains
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,StringQuery,ShipMethod,True,FromDefault,StringQuery,AdventureWorksLT2019Model.SalesOrderHeader,t,ShipMethod,SystemString,,,,Contains
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,StringQuery,CreditCardApprovalCode,True,FromDefault,StringQuery,AdventureWorksLT2019Model.SalesOrderHeader,t,CreditCardApprovalCode,SystemString,,,,Contains
AdventureWorksLT2019Model.SalesOrderHeader,AdvancedQuery,StringQuery,Comment,True,FromDefault,StringQuery,AdventureWorksLT2019Model.SalesOrderHeader,t,Comment,SystemString,,,,Contains
AdventureWorksLT2019Model.SalesOrderHeader,Identifier,Identifier,SalesOrderID,True,FromDefault,Identifier,AdventureWorksLT2019Model.SalesOrderHeader,t,SalesOrderID,SystemInt32,,,,Equals
